Teste com a função original:

Lista original: 42 7 0 3 666 1 111 10 13 
Lista ordenada: 0 1 3 7 10 13 42 111 666 
Tempo utilizado: 0 nanosegundos.

Teste com a função otimizada:

Lista original: 42 7 0 3 666 1 111 10 13 
Lista ordenada: 0 1 3 7 10 13 42 111 666 
Tempo utilizado: 0 nanosegundos.

Usando 100 listas com 10000 termos:

(70) Função otimizada: 469459100 nanosegundos.
(71) Função original: 888203900 nanosegundos.
(71) Função otimizada: 484044800 nanosegundos.
(72) Função original: 900412500 nanosegundos.
(72) Função otimizada: 424486800 nanosegundos.
(73) Função original: 866932300 nanosegundos.
(73) Função otimizada: 452222700 nanosegundos.
(74) Função original: 1022692300 nanosegundos.
(74) Função otimizada: 412514100 nanosegundos.
(75) Função original: 910997900 nanosegundos.
(75) Função otimizada: 469991800 nanosegundos.
(76) Função original: 889447300 nanosegundos.
(76) Função otimizada: 401515000 nanosegundos.
(77) Função original: 897730500 nanosegundos.
(77) Função otimizada: 466638700 nanosegundos.
(78) Função original: 896311000 nanosegundos.
(78) Função otimizada: 448441800 nanosegundos.
(79) Função original: 860377800 nanosegundos.
(79) Função otimizada: 410208500 nanosegundos.
(80) Função original: 947377600 nanosegundos.
(80) Função otimizada: 533875800 nanosegundos.
(81) Função original: 567614300 nanosegundos.
(81) Função otimizada: 382776700 nanosegundos.
(82) Função original: 940526500 nanosegundos.
(82) Função otimizada: 461314700 nanosegundos.
(83) Função original: 938953400 nanosegundos.
(83) Função otimizada: 444951800 nanosegundos.
(84) Função original: 896257100 nanosegundos.
(84) Função otimizada: 478680800 nanosegundos.
(85) Função original: 896646100 nanosegundos.
(85) Função otimizada: 476082000 nanosegundos.
(86) Função original: 930576700 nanosegundos.
(86) Função otimizada: 491339400 nanosegundos.
(87) Função original: 856499600 nanosegundos.
(87) Função otimizada: 456825300 nanosegundos.
(88) Função original: 912314600 nanosegundos.
(88) Função otimizada: 426893000 nanosegundos.
(89) Função original: 903580800 nanosegundos.
(89) Função otimizada: 426659300 nanosegundos.
(90) Função original: 912557900 nanosegundos.
