Teste com a função original:

Lista original: Payload: 42 7 0 3 666 1 111 10 13 
Lista ordenada: Payload: 0 1 3 7 10 13 42 111 666 
Tempo utilizado: 400 nanosegundos.

Teste com a função otimizada:

Lista original: Payload: 42 7 0 3 666 1 111 10 13 
Lista ordenada: Payload: 0 1 3 7 10 13 42 111 666 
Tempo utilizado: 300 nanosegundos.

Usando 100 listas com 10000 termos:

(68) Função original: 11691194500 nanosegundos.
(68) Função otimizada: 12182183400 nanosegundos.
(69) Função original: 11986335600 nanosegundos.
(69) Função otimizada: 12498214200 nanosegundos.
(70) Função original: 12273441900 nanosegundos.
(70) Função otimizada: 12734015200 nanosegundos.
(71) Função original: 12655030700 nanosegundos.
(71) Função otimizada: 13412356100 nanosegundos.
(72) Função original: 12978398400 nanosegundos.
(72) Função otimizada: 13605919800 nanosegundos.
(73) Função original: 13791486400 nanosegundos.
(73) Função otimizada: 14140732000 nanosegundos.
(74) Função original: 13766333800 nanosegundos.
(74) Função otimizada: 14534807800 nanosegundos.
(75) Função original: 14362165900 nanosegundos.
(75) Função otimizada: 14731635300 nanosegundos.
(76) Função original: 14745711000 nanosegundos.
(76) Função otimizada: 15408613200 nanosegundos.
(77) Função original: 15520423600 nanosegundos.
(77) Função otimizada: 15852264400 nanosegundos.
(78) Função original: 15518223500 nanosegundos.
(78) Função otimizada: 16522029600 nanosegundos.
(79) Função original: 15874287700 nanosegundos.
(79) Função otimizada: 16683621100 nanosegundos.
(80) Função original: 16404727200 nanosegundos.
(80) Função otimizada: 16781000000 nanosegundos.
(81) Função original: 17113866900 nanosegundos.
(81) Função otimizada: 17406879600 nanosegundos.
(82) Função original: 17753455400 nanosegundos.
(82) Função otimizada: 18202451200 nanosegundos.
(83) Função original: 18344685100 nanosegundos.
(83) Função otimizada: 18488213900 nanosegundos.
(84) Função original: 17904389800 nanosegundos.
(84) Função otimizada: 18980397600 nanosegundos.
(85) Função original: 19263049800 nanosegundos.
(85) Função otimizada: 19145532100 nanosegundos.
(86) Função original: 19122873400 nanosegundos.
(86) Função otimizada: 20384193600 nanosegundos.
(87) Função original: 21248878300 nanosegundos.
(87) Função otimizada: 21087661700 nanosegundos.
(88) Função original: 19116985700 nanosegundos.
(88) Função otimizada: 20439254400 nanosegundos.
(89) Função original: 20774877300 nanosegundos.
(89) Função otimizada: 21623881300 nanosegundos.
(90) Função original: 21262261500 nanosegundos.
(90) Função otimizada: 21336540500 nanosegundos.
(91) Função original: 21818810400 nanosegundos.
(91) Função otimizada: 21776933900 nanosegundos.
(92) Função original: 21852718700 nanosegundos.
(92) Função otimizada: 23415191000 nanosegundos.
(93) Função original: 22547069800 nanosegundos.
(93) Função otimizada: 25712151100 nanosegundos.
(94) Função original: 23034857700 nanosegundos.
(94) Função otimizada: 25090510600 nanosegundos.
(95) Função original: 23910850100 nanosegundos.
(95) Função otimizada: 23874024300 nanosegundos.
(96) Função original: 22845661400 nanosegundos.
(96) Função otimizada: 25870042900 nanosegundos.
(97) Função original: 23232870200 nanosegundos.
(97) Função otimizada: 24575393500 nanosegundos.
(98) Função original: 23654128200 nanosegundos.
(98) Função otimizada: 24664189000 nanosegundos.
(99) Função original: 24160188500 nanosegundos.
(99) Função otimizada: 25226521300 nanosegundos.
(100) Função original: 24600363300 nanosegundos.
(100) Função otimizada: 25626921500 nanosegundos.
